Time,Username,Tweets
2022-06-07 08:37:26+00:00,Moh4madZainudin,b'Tulisnjawaban dikolom komentar \xf0\x9f\x98\x81\n.\n.\n.\nInfo pendaftaran kuliah :\n081227576775\n.\n.\n.\n.\n.\n#semarang\n#semaranghebat\xe2\x80\xa6 https://t.co/t46AbZNoA6'
2022-06-07 03:44:49+00:00,unikomtwit,b':: Mahasiswa UNIKOM Lolos Pendanaan PKM Tahun 2022 ::\n\nBaca selengkapnya di: https://t.co/X25u5otSln\n\n#Unikom\xe2\x80\xa6 https://t.co/hz8GWkcyjN'
2022-06-06 09:16:53+00:00,tanotoeducation,b'Di sini ada tidak ya T-Friends yang memiliki aspirasi untuk menjadi peneliti dan berkontribusi pada berbagai inovas\xe2\x80\xa6 https://t.co/hlkdp1fePn'
2022-06-06 02:15:24+00:00,DiktiVokasi,"b'Halo #SobatVokasi!\nUntuk kamu, yg tertarik bergabung &amp; penasaran dgn Program Kampus Mengajar Angkatan 4, yuk gabung\xe2\x80\xa6 https://t.co/yPc7JPPs9O'"
2022-06-05 07:52:05+00:00,Moh4madZainudin,b'Info pendaftaran kuliah :\n081227576775\n.\n.\n.\n.\n.\n#semarang\n#semaranghebat\n#kampusmerdeka\n#merdekabelajar\n#pmb\xe2\x80\xa6 https://t.co/kD0BnuuESh'
2022-06-07 15:08:55+00:00,Universitas Negeri Padang,b'Afdalisma Kepala Biro UNP dilantik sebagai Kepala LLDIKTI Wilayah https://t.co/7Oi67JoMYI\nBaca berita selengkapnya\xe2\x80\xa6 https://t.co/Ts0GcXGKtZ'
2022-06-07 09:34:13+00:00,Universitas Darma Agung,b'Dan juga agar semakin memperkuat pengenalan akan Universitas Darma Agung yang merupakan kampus tertua di Kota Medan\xe2\x80\xa6 https://t.co/C1S5rwqwWr'
2022-06-07 08:47:29+00:00,Universitas Negeri Padang,b'Karate Sumbang 7 Medali bagi Kontingen UNP Hari Pertama POMPROV https://t.co/2iLF7slb9g\n#universitasnegeripadang\xe2\x80\xa6 https://t.co/A267oj0vBC'
2022-06-07 08:37:26+00:00,Mohamad Zainudin,b'Tulisnjawaban dikolom komentar \xf0\x9f\x98\x81\n.\n.\n.\nInfo pendaftaran kuliah :\n081227576775\n.\n.\n.\n.\n.\n#semarang\n#semaranghebat\xe2\x80\xa6 https://t.co/t46AbZNoA6'
2022-06-07 08:11:33+00:00,Fikom Universitas Gunadarma,b'Lampiran KRS Aktif Semester ATA 2021-2022\n\n#FikomUG\n#FikomUGSiap\n#UniversitasGunadarma\n#S1Komunikasi\n#S2Komunikasi\n#KampusMerdeka'
2022-06-07 07:16:30+00:00,Universitas Respati Indonesia (URINDO),"b'Halo mahasiswa urindo, kamu sudah tau kan kampus mengajar....?\nKampus mengajar adalah salah satu bagian dari kebija\xe2\x80\xa6 https://t.co/2VrhuglbOV'"
2022-06-07 03:44:49+00:00,Universitas Komputer Indonesia,b':: Mahasiswa UNIKOM Lolos Pendanaan PKM Tahun 2022 ::\n\nBaca selengkapnya di: https://t.co/X25u5otSln\n\n#Unikom\xe2\x80\xa6 https://t.co/hz8GWkcyjN'
2022-06-07 03:28:07+00:00,Dommiii,b'Harapan saya mengikuti program AKMB yaitu dapat berkontribusi secara langsung ketengah tengah masyarakat Terutama d\xe2\x80\xa6 https://t.co/3ZgLehXaHo'
2022-06-07 03:27:01+00:00,Dommiii,b'Pembekalan AKMB disampaikan point penting terkait tugas dan tanggungjawab program yang akan dijalankan selama masa\xe2\x80\xa6 https://t.co/J38bDVrGBV'
2022-06-07 01:05:47+00:00,Moci,"b'@collegemenfess Telkom, tokopedia, shopee, grab, gojek, bank, kemenkeu, dll.. Liat aja di web kampusmerdeka/linkedi\xe2\x80\xa6 https://t.co/L7EIi5zEAh'"
2022-06-06 12:56:53+00:00,IPB,"b'#IPBPedia\nHai, #IPBnesian!\n\nMaksimalkan aktivitas harianmu dengan konsumsi sarapan dengan porsi ideal selengkapnya\xe2\x80\xa6 https://t.co/eskAsYhlPH'"
